,NAME,LATITUDE,LONGITUDE,hov_txt,CLOTHING,FOOD,HOUSEHOLD GOODS,HOUSING,TRAINING AND OTHER SERVICES,NOTES,WEBSITE,type,color
462,Youth Collaboratory,40.4480371,-80.0024407,"106 Isabella St, Pittsburgh",,,,1,,,http://www.youthcollaboratory.org/,TRAINING AND OTHER SERVICES,#824100
463,YouthPlaces,40.452716,-80.008078,"711 W Commons, Pittsburgh",,,,1,,,http://youthplaces.org/,TRAINING AND OTHER SERVICES,#824100
464,Zicknacks Community Thrift Store,40.3782458,-79.9902455,"2780 Saw Mill Run Blvd, Pittsburgh",1,,,,,,http://www.zicknacks.com/,TRAINING AND OTHER SERVICES,#824100
465,Hazelwood Community Center,40.40646699,-79.94265677,138 JOHNSTON AVE,0,1,0,0,1,"YMCA food bank (first Sat of month), life skills programming for youth",https://www.spartancenter.org/,TRAINING AND OTHER SERVICES,#824100
466,Beechview Senior and Community Center,40.41073294,-80.0243594,1555 BROADWAY AVE,0,1,0,0,0,"free grab&go senior lunches, M, W, F from 11-1, healthy active living ctr for seniors",,TRAINING AND OTHER SERVICES,#824100
467,Brighton Heights Senior Center,40.47926492,-80.03582778,3515 MCCLURE AVE,0,1,0,0,0,"free grab&go senior lunches, M, W, F from 11-1, healthy active living ctr for seniors",,TRAINING AND OTHER SERVICES,#824100
468,Glen Hazel Senior Center,40.40673455,-79.93310816,945 ROSSELLE CT,0,1,0,0,0,"free grab&go senior lunches, M, W, F from 11-1; healthy active living ctr for seniors",,TRAINING AND OTHER SERVICES,#824100
469,Hazelwood Senior Center,40.40366317,-79.94257411,5344 SECOND AVE,0,1,0,0,0,"free grab&go senior lunches, M, W, F from 11-1; healthy active living ctr for seniors",,TRAINING AND OTHER SERVICES,#824100
470,Homewood Senior Center,40.45691848,-79.89299637,7321 FRANKSTOWN AVE,0,1,0,0,0,"free grab&go senior lunches, M, W, F from 11-1; healthy active living ctr for seniors",,TRAINING AND OTHER SERVICES,#824100
471,Lawrenceville Senior Center,40.47312147,-79.95808507,4600 BUTLER ST,0,1,0,0,0,"free grab&go senior lunches, M, W, F from 11-1; healthy active living ctr for seniors",,TRAINING AND OTHER SERVICES,#824100
472,Magee Recreation Center,40.42439382,-79.93676526,745 GREENFIELD AVE,0,1,0,0,0,"after-school meals, 4-6pm (snack & dinner)",https://apps.pittsburghpa.gov/redtail/images/15894_MageePAGE.pdf,TRAINING AND OTHER SERVICES,#824100
473,Morningside Senior Center,40.4838976,-79.92498053,6944 PRESIDENT WAY,0,1,0,0,0,"free grab&go senior lunches, M, W, F from 11-1; healthy active living ctr for seniors",,TRAINING AND OTHER SERVICES,#824100
474,Mount Washington Senior Center,40.43005473,-80.0079767,122 VIRGINIA AVE,0,1,0,0,0,"free grab&go senior lunches, M, W, F from 11-1; healthy active living ctr for seniors",,TRAINING AND OTHER SERVICES,#824100
475,Sheraden Senior Center,40.45518068,-80.05670087,720 SHERWOOD AVE,0,1,0,0,0,"free grab&go senior lunches, M, W, F from 11-1; healthy active living ctr for seniors",,TRAINING AND OTHER SERVICES,#824100
476,West End Senior Center,40.43887353,-80.03471426,60 WABASH ST,0,1,0,0,0,"free grab&go senior lunches, M, W, F from 11-1; healthy active living ctr for seniors",,TRAINING AND OTHER SERVICES,#824100
477,Morningside Crossing,40.4861716,-79.92595239,1802 JANCEY ST,0,0,0,1,0,"46-unit mixed housing redevelopment, focus on seniors, most units for people making 20 - 60% median income",https://cmshousing.com/properties/morningside-crossing/,TRAINING AND OTHER SERVICES,#824100
478,Jefferson Recreation Center,40.4593693,-80.01450519,605 REDKNAP ST,0,1,0,0,0,"free after-school meals for kids, 4-6pm",,TRAINING AND OTHER SERVICES,#824100
479,Paulson Recreation Center,40.46823802,-79.90351256,1201 PAULSON AVE,0,1,0,0,0,"free after-school meals for kids, 4-6pm",https://www.afterschoolpgh.org/programs/paulson-community-recreation-center/,TRAINING AND OTHER SERVICES,#824100
480,AMMON,40.6497151,-73.9555525,2217 Bedford Avenue,0,1,0,0,0,,,TRAINING AND OTHER SERVICES,#824100
481,ARLINGTON,40.4192698,-79.9753614,2201 Salisbury Street,0,1,0,0,0,,,TRAINING AND OTHER SERVICES,#824100
482,JEFFERSON,40.4590936,-80.0145125,605 Rednap Street,0,1,0,0,0,,,TRAINING AND OTHER SERVICES,#824100
483,MAGEE,40.4243888,-79.9368249,745 Greenfield Avenue,0,1,0,0,0,,,TRAINING AND OTHER SERVICES,#824100
484,ORMSBY,40.4290339,-79.9743036,79 S. 22nd Street,0,1,0,0,0,,,TRAINING AND OTHER SERVICES,#824100
485,PHILLIPS,40.3915845,-79.9910552,201 Parkfield Street,0,1,0,0,0,,,TRAINING AND OTHER SERVICES,#824100
486,WARRINGTON,40.4212661,-80.0009554,329 Warrington Avenue,0,1,0,0,0,,,TRAINING AND OTHER SERVICES,#824100
